gene,disease
A2ML1,"Otitis Media, Susceptibility To"
A4GALT,"Blood Group, P1Pk System"
AAAS,Glucocorticoid Deficiency With Achalasia
AAGAB,"Palmoplantar Keratoderma, Punctate Type 1A"
AARS1,Charcot-Marie-Tooth Disease Axonal Type 2N
AARS1,"Developmental And Epileptic Encephalopathy, 29"
AARS1,"Trichothiodystrophy 8, Nonphotosensitive"
AARS1,"Leukoencephalopathy, Hereditary Diffuse, With Spheroids 2"
AARS1,Charcot-Marie-Tooth Disease
AARS2,"Leukoencephalopathy, Progressive, With Ovarian Failure"
AARS2,Combined Oxidative Phosphorylation Defect Type 8
AASS,"Hyperlysinemia, Type I"
ABAT,Gamma-Aminobutyric Acid Transaminase Deficiency
ABCA1,"Hypoalphalipoproteinemia, Primary, 1"
ABCA1,Tangier Disease
ABCA12,Autosomal Recessive Congenital Ichthyosis 4B
ABCA12,Autosomal Recessive Congenital Ichthyosis 4A
ABCA2,Intellectual Developmental Disorder With Poor Growth And With Or Without Seizures Or Ataxia
ABCA3,Interstitial Lung Disease Due To Abca3 Deficiency
ABCA4,Severe Early-Childhood-Onset Retinal Dystrophy
ABCA4,Cone-Rod Dystrophy 3
ABCA4,Age Related Macular Degeneration 2
ABCA4,Retinitis Pigmentosa 19
ABCA5,Gingival Fibromatosis-Hypertrichosis Syndrome
ABCA7,Alzheimer Disease 9
ABCB1,Inflammatory Bowel Disease 13
ABCB1,"Encephalopathy, Acute Transient"
ABCB1,Colchicine Resistance
ABCB11,Benign Recurrent Intrahepatic Cholestasis Type 2
ABCB11,Progressive Familial Intrahepatic Cholestasis Type 3
ABCB11,Progressive Familial Intrahepatic Cholestasis Type 2
ABCB4,Progressive Familial Intrahepatic Cholestasis Type 3
ABCB4,Low Phospholipid Associated Cholelithiasis
ABCB4,"Cholestasis, Intrahepatic, Of Pregnancy, 3"
ABCB6,"Microphthalmia, Isolated, With Coloboma 7"
ABCB6,Langereis Blood Group
ABCB6,Familial Pseudohyperkalemia
ABCB6,Dyschromatosis Universalis Hereditaria 3
ABCB7,X-Linked Sideroblastic Anemia With Ataxia
ABCC1,"Hearing Loss, Autosomal Dominant 77"
ABCC11,"Apocrine Gland Secretion, Variation In"
ABCC2,Dubin-Johnson Syndrome
ABCC6,"Arterial Calcification, Generalized, Of Infancy, 1"
ABCC6,Autosomal Recessive Inherited Pseudoxanthoma Elasticum
ABCC6,"Pseudoxanthoma Elasticum, Forme Fruste"
